愛育,あいいく,aiiku
偽薬,ぎやく,giyaku
自治政府,じちせいふ,jichiseifu
プラシーボ効果,プラシーボこうか,purashiibokouka
プラセボ効果,プラセボこうか,purasebokouka
シャワー室,シャワーしつ,shawaashitsu
診察台,しんさつだい,shinsatsudai
美術室,びじゅつしつ,bijutsushitsu
音楽室,おんがくしつ,ongakushitsu
右手法,みぎてほう,migitehou
左手法,ひだりてほう,hidaritehou
脱出ゲーム,だっしゅつゲーム,dasshutsugeemu
炭素14,たんそじゅうよん,tansojuuyon
四重水素,よんじゅうすいそ,yonjuusuiso
五重水素,ごじゅうすいそ,gojuusuiso
六重水素,ろくじゅうすいそ,rokujuusuiso
七重水素,しちじゅうすいそ,shichijuusuiso
軽水素,けいすいそ,keisuiso
異種原子,いしゅげんし,ishugenshi
クォーク星,クォークせい,kuookusei
誤嚥性肺炎,ごえんせいはいえん,goenseihaien
質量数,しつりょうすう,shitsuryousuu
水素イオン,すいそイオン,suisoion
イオン式,イオンしき,ionshiki
フッ化,フッか,futsuka
フッ化物,フッかぶつ,futsukabutsu
ヨウ化物,ヨウかぶつ,youkabutsu
ヨウ化,ヨウか,youka
フッ化物イオン,フッかぶつイオン,futsukabutsuion
塩化物イオン,えんかぶつイオン,enkabutsuion
臭化物イオン,しゅうかぶつイオン,shuukabutsuion
ヨウ化物イオン,ヨウかぶつイオン,youkabutsuion
弗化物イオン,ふっかぶつイオン,fukkabutsuion
沃化物イオン,ようかぶつイオン,youkabutsuion
水酸化物イオン,すいさんかぶつイオン,suisankabutsuion
酸化物イオン,さんかぶつイオン,sankabutsuion
硫化物イオン,りゅうかぶつイオン,ryuukabutsuion
硫酸イオン,りゅうさんイオン,ryuusanion
硝酸イオン,しょうさんイオン,shousanion
酢酸イオン,さくさんイオン,sakusanion
語学学校,ごがくがっこう,gogakugakkou
同調心理,どうちょうしんり,douchoushinri
異民族,いみんぞく,iminzoku
零歳,れいさい,reisai
零才,れいさい,reisai
定数関数,ていすうかんすう,teisuukansuu
零関数,れいかんすう,reikansuu
熱力学第一法則,ねつりきがくだいいちほうそく,netsurikigakudaiichihousoku
熱力学第二法則,ねつりきがくだいにほうそく,netsurikigakudainihousoku
熱力学第三法則,ねつりきがくだいさんほうそく,netsurikigakudaisanhousoku
熱力学第零法則,ねつりきがくだいれいほうそく,netsurikigakudaireihousoku
エネルギー保存則,エネルギーほぞんそく,enerugiihozonsoku
角運動量保存則,かくうんどうりょうほぞんそく,kakuundouryouhozonsoku
運動量保存則,うんどうりょうほぞんそく,undouryouhozonsoku
力学的エネルギー保存則,りきがくてきエネルギーほぞんそく,rikigakutekienerugiihozonsoku
予備日,よびび,yobibi
登下校,とうげこう,tougekou
出退社,しゅったいしゃ,shuttaisha
白ロシア語,はくロシアご,hakuroshiago
白ロシア人,はくロシアじん,hakuroshiajin
聖下,せいか,seika
法務官,ほうむかん,houmukan
旧陸軍,きゅうりくぐん,kyuurikugun
旧海軍,きゅうかいぐん,kyuukaigun
政務官,せいむかん,seimukan
准教授,じゅんきょうじゅ,junkyouju
助教授,じょきょうじゅ,jokyouju
教授会,きょうじゅかい,kyoujukai
高認,こうにん,kounin
大検,だいけん,daiken
津波避難ビル,つなみひなんビル,tsunamihinanbiru
津波避難タワー,つなみひなんタワー,tsunamihinantawaa
平方採中法,へいほうさいちゅうほう,heihousaichuuhou
疑似乱数,ぎじらんすう,gijiransuu
腺ペスト,せんペスト,senpesuto
東京時代,とうきょうじだい,toukyoujidai
7セグメントディスプレイ,ななセグメントディスプレイ,nanasegumentodisupurei
アンドゥトロワ,アン,an
霊岸島量水標零位,れいがんじまりょうすいひょうれいい,reiganjimaryousuihyoureii
数万,すうまん,suuman
縄文人,じょうもんじん,joumonjin
弥生人,やよいじん,yayoijin
古墳人,こふんじん,kofunjin
二十日正月,はつかしょうがつ,hatsukashougatsu
かわりばえ,かわりばえ,kawaribae
浄人,じょうにん,jounin
黒番,くろばん,kuroban
白番,しろばん,shiroban
化政文化,かせいぶんか,kaseibunka
桃山文化,ももやまぶんか,momoyamabunka
東山文化,ひがしやまぶんか,higashiyamabunka
北山文化,きたやまぶんか,kitayamabunka
鎌倉文化,かまくらぶんか,kamakurabunka
国風文化,こくふうぶんか,kokufuubunka
天平文化,てんぴょうぶんか,tenpyoubunka
ヨーロッパ鮒,ヨーロッパブナ,yooroppabuna
ヨーロッパ橅,ヨーロッパブナ,yooroppabuna
逃げ口上,にげこうじょう,nigekoujou
合理性,ごうりせい,gourisei
単語帳,たんごちょう,tangochou
減単,げんたん,gentan
増単,ぞうたん,zoutan
清越,せいえつ,seietsu
必履修,ひつりしゅう,hitsurishuu
清樾,せいえつ,seietsu
舷門,げんもん,genmon
舷梯,げんてい,gentei
賢弟,けんてい,kentei
玄門,げんもん,genmon
ぱかぱか,ぱかぱか,pakapaka
輪島塗,わじまぬり,wajimanuri
珠洲焼,すずやき,suzuyaki
無釉,むゆう,muyuu
大手門,おおてもん,ootemon
猛鳥,もうちょう,mouchou
洞簫,どうしょう,doushou
銅将,どうしょう,doushou
長尾,ちょうび,choubi
明楽,みんがく,mingaku
長簫,ちょうしょう,choushou
円相,えんそう,ensou
円窓,えんそう,ensou
淵底,えんてい,entei
八専,はっせん,hassen
八千,はっせん,hassen
孔子廟,こうしびょう,koushibyou
四聖,しせい,shisei
唯一神,ゆいいつしん,yuiitsushin
民族宗教,みんぞくしゅうきょう,minzokushuukyou
世界宗教,せかいしゅうきょう,sekaishuukyou
明末,みんまつ,minmatsu
元末,げんまつ,genmatsu
宋末,そうまつ,soumatsu
唐末,とうまつ,toumatsu
隋末,ずいまつ,zuimatsu
秦末,しんまつ,shinmatsu
殷末,いんまつ,inmatsu
漢初,かんしょ,kansho
隋初,ずいしょ,zuisho
唐初,とうしょ,tousho
宋初,そうしょ,sousho
元初,げんしょ,gensho
明初,みんしょ,minsho
清初,しんしょ,shinsho
民初,みんしょ,minsho
殷墟,いんきょ,inkyo
低角,ていかく,teikaku
孟母,もうぼ,moubo
儒学者,じゅがくしゃ,jugakusha
駅地下,えきちか,ekichika
駅中,えきなか,ekinaka
駅近,えきちか,ekichika
道の駅,みちのえき,michinoeki
築浅,ちくあさ,chikuasa
築深,ちくぶか,chikubuka
耐冷,たいれい,tairei
真空ポンプ,しんくうポンプ,shinkuuponpu
金華山,きんかざん,kinkazan
飛越,ひえつ,hietsu
防浪堤,ぼうろうてい,bouroutei
ビフォーアフター,ビフォーアフター,bifooafutaa
二十四時間,にじゅうよじかん,nijuuyojikan
三百六十五日,さんびゃくろくじゅうごにち,sanbyakurokujuugonichi
一年中,いちねんじゅう,ichinenjuu
五港,ごこう,gokou
四港,しこう,shikou
不平等条約,ふびょうどうじょうやく,fubyoudoujouyaku
自然免疫,しぜんめんえき,shizenmen'eki
獲得免疫,かくとくめんえき,kakutokumen'eki
混合ワクチン,こんごうワクチン,kongouwakuchin
非戦,ひせん,hisen
不戦勝,ふせんしょう,fusenshou
不戦敗,ふせんはい,fusenhai
非武,ひぶ,hibu
相撲道,すもうどう,sumoudou
州旗,しゅうき,shuuki
州歌,しゅうか,shuuka
県歌,けんか,kenka
都歌,とか,toka
府歌,ふか,fuka
市歌,しか,shika
町歌,ちょうか,chouka
村歌,そんか,sonka
ブレイクスルー感染,ブレイクスルーかんせん,bureikusuruukansen
ブースター接種,ブースターせっしゅ,buusutaasesshu
欧州人,おうしゅうじん,oushuujin
郡旗,ぐんき,gunki
けんま,けんま,kenma
X世代,エックスせだい,ekkususedai
Y世代,ワイせだい,waisedai
Z世代,ゼッドせだい,zeddosedai
α世代,アルファせだい,arufasedai
β世代,ベータせだい,beetasedai
ゆとり世代,ゆとりせだい,yutorisedai
団塊の世代,だんかいのせだい,dankainosedai
団塊ジュニア,だんかいジュニア,dankaijunia
氷河期世代,ひょうがきせだい,hyougakisedai
朔望月,さくぼうげつ,sakubougetsu
近点月,きんてんげつ,kintengetsu
交点月,こうてんげつ,koutengetsu
分点月,ぶんてんげつ,buntengetsu
恒星月,こうせいげつ,kouseigetsu
カッシーニの法則,カッシーニのほうそく,kasshiininohousoku
郡歌,ぐんか,gunka
小市民,しょうしみん,shoushimin
春眠,しゅんみん,shunmin
春霰,しゅんさん,shunsan
春霖,しゅんりん,shunrin
新橋色,しんばしいろ,shinbashiiro
住所録,じゅうしょろく,juushoroku
水褌,すいこん,suikon
脱水機,だっすいき,dassuiki
医師会,いしかい,ishikai
涼月,りょうげつ,ryougetsu
盤外戦,ばんがいせん,bangaisen
屋地,やち,yachi
野致,やち,yachi
野趣,やしゅ,yashu
敵対心,てきたいしん,tekitaishin
野帳,やちょう,yachou
夏季五輪,かきごりん,kakigorin
冬季五輪,とうきごりん,toukigorin
ユース五輪,ユースごりん,yuusugorin
パラ五輪,パラごりん,paragorin
オリパラ,オリパラ,oripara
鉄道線路,てつどうせんろ,tetsudousenro
へそまがり,へそまがり,hesomagari
町丁,ちょうちょう,chouchou
十四日年越し,じゅうよっかとしこし,juuyokkatoshikoshi
両陛下,りょうへいか,ryouheika
進法,しんほう,shinhou
空の便,そらのびん,soranobin
余接,よせつ,yosetsu
第一類医薬品,だいいちるいいやくひん,daiichiruiiyakuhin
第二類医薬品,だいにるいいやくひん,dainiruiiyakuhin
第三類医薬品,だいさんるいいやくひん,daisanruiiyakuhin
指定第二類医薬品,していだいにるいいやくひん,shiteidainiruiiyakuhin
医薬部外品,いやくぶがいやくひん,iyakubugaiyakuhin
指定医薬部外品,していいやくぶがいひん,shiteiiyakubugaihin
一般用医薬品,いっぱんよういやくひん,ippanyouiyakuhin
家庭用医薬品,かていよういやくひん,kateiyouiyakuhin
OTC医薬品,オーティーシーいやくひん,ooteiishiiiyakuhin
余角,よかく,yokaku
処方箋医薬品,しょほうせんいやくひん,shohousen'iyakuhin
調剤薬局,ちょうざいやっきょく,chouzaiyakkyoku
一類感染症,いちるいかんせんしょう,ichiruikansenshou
二類感染症,にるいかんせんしょう,niruikansenshou
三類感染症,さんるいかんせんしょう,sanruikansenshou
四類感染症,よんるいかんせんしょう,yonruikansenshou
五類感染症,ごるいかんせんしょう,goruikansenshou
季節性インフルエンザ,きせつせいインフルエンザ,kisetsuseiinfuruenza
指定感染症,していかんせんしょう,shiteikansenshou
新感染症,しんかんせんしょう,shinkansenshou
一種病原体等,いっしゅびょうげんたいとう,isshubyougentaitou
二種病原体等,にしゅびょうげんたいとう,nishubyougentaitou
三種病原体等,さんしゅびょうげんたいとう,sanshubyougentaitou
四種病原体等,よんしゅびょうげんたいとう,yonshubyougentaitou
特定病原体等,とくていびょうげんたいとう,tokuteibyougentaitou
特定感染症指定医療機関,とくていかんせんしょうしていいりょうきかん,tokuteikansenshoushiteiiryoukikan
第一種感染症指定医療機関,だいいっしゅかんせんしょうしていいりょうきかん,daiisshukansenshoushiteiiryoukikan
第二種感染症指定医療機関,だいにしゅかんせんしょうしていいりょうきかん,dainishukansenshoushiteiiryoukikan
新型インフルエンザ等感染症,しんがたインフルエンザとうかんせんしょう,shingatainfuruenzatoukansenshou
再興型インフルエンザ,さいこうがたインフルエンザ,saikougatainfuruenza
再興型コロナウイルス感染症,さいこうがたコロナウイルスかんせんしょう,saikougatakoronauirusukansenshou
新型コロナウイルス感染症,しんがたコロナウイルスかんせんしょう,shingatakoronauirusukansenshou
まん延防止等重点措置,まんえんぼうしとうじゅうてんそち,man'enboushitoujuutensochi
学校感染症,がっこうかんせんしょう,gakkoukansenshou
十種伝染病,じっしゅでんせんびょう,jisshudensenbyou
時間差,じかんさ,jikansa
自然哲学,しぜんてつがく,shizentetsugaku
自然学,しぜんがく,shizengaku
第二哲学,だいにてつがく,dainitetsugaku
第一哲学,だいいちてつがく,daiichitetsugaku
テレビ塔,テレビとう,terebitou
ラジオ塔,ラジオとう,rajiotou
基地局,きちきょく,kichikyoku
両月,りょうげつ,ryougetsu
点字ブロック,てんじブロック,tenjiburokku
冠番組,かんむりばんぐみ,kanmuribangumi
稟貸,ひんたい,hintai
芸技,げいぎ,geigi
肩摩轂撃,けんまこくげき,kenmakokugeki
車馬,しゃば,shaba
CJK統合漢字,シージェイケーとうごうかんじ,shiijieikeetougoukanji
紅葉前線,こうようぜんせん,kouyouzensen
生活道路,せいかつどうろ,seikatsudouro
幹線道路,かんせんどうろ,kansendouro
封建時代,ほうけんじだい,houkenjidai
万善,まんぜん,manzen
ちりちょうず,ちりちょうず,chirichouzu
半開き,はんびらき,hanbiraki
半開,はんかい,hankai
委任統治,いにんとうち,inintouchi
信託統治,しんたくとうち,shintakutouchi
番外地,ばんがいち,bangaichi
半解,はんかい,hankai
番外,ばんがい,bangai
幡蓋,ばんがい,bangai
半ドア,はんドア,handoa
両天秤,りょうてんびん,ryoutenbin
両天,りょうてん,ryouten
整備新幹線,せいびしんかんせん,seibishinkansen
湾外,わんがい,wangai
龍笛,りょうてき,ryouteki
竜笛,りょうてき,ryouteki
塵手水,ちりちょうず,chirichouzu
首吊り自殺,くびつりじさつ,kubitsurijisatsu
飛び降り自殺,とびおりじさつ,tobiorijisatsu
入水自殺,じゅすいじさつ,jusuijisatsu
入水管,にゅうすいかん,nyuusuikan
出水管,しゅっすいかん,shussuikan
飛び込み自殺,とびこみじさつ,tobikomijisatsu
教練,きょうれん,kyouren
軍事教練,ぐんじきょうれん,gunjikyouren
水都,すいと,suito
直下地震,ちょっかじしん,chokkajishin
領土問題,りょうどもんだい,ryoudomondai
程度問題,ていどもんだい,teidomondai
社会問題,しゃかいもんだい,shakaimondai
世界一,せかいいち,sekaiichi
日本一,にほんいち,nihon'ichi
一等賞,いっとうしょう,ittoushou
一名,いちめい,ichimei
最大光輝,さいだいこうき,saidaikouki
吐綬鶏,とじゅけい,tojukei
用字法,ようじほう,youjihou
輪講,りんこう,rinkou
燐光,りんこう,rinkou
燐鉱,りんこう,rinkou
輪行,りんこう,rinkou
交隣,こうりん,kourin
工臨,こうりん,kourin
紅林,こうりん,kourin
人間性,にんげんせい,ningensei
三審,さんしん,sanshin
左院,さいん,sain
正院,せいいん,seiin
右院,ういん,uin
市民ランナー,しみんランナー,shiminrannaa
初志貫徹,しょしかんてつ,shoshikantetsu
仏狼機,ふろうき,furouki
仏郎機,ふろうき,furouki
定例会,ていれいかい,teireikai
食玩,しょくがん,shokugan
食品玩具,しょくひんがんぐ,shokuhingangu
四齣漫画,よんこままんが,yonkomamanga
漫画喫茶,まんがきっさ,mangakissa
漫画本,まんがぼん,mangabon
検地帳,けんちちょう,kenchichou
口分田,くぶんでん,kubunden
孤塁,こるい,korui
黒檀,こくたん,kokutan
針葉樹林,しんようじゅりん,shinyoujurin
広葉樹林,こうようじゅりん,kouyoujurin
ペン回し,ぺんまわし,penmawashi
浪人回し,ろうにんまわし,rouninmawashi
盈月,えいげつ,eigetsu
惑星直列,わくせいちょくれつ,wakuseichokuretsu
教諭,きょうゆ,kyouyu
石音,いしおと,ishioto
行替え,ぎょうがえ,gyougae
翠樾,すいえつ,suietsu
潟湖,せきこ,sekiko
礁湖,しょうこ,shouko
更新料,こうしんりょう,koushinryou
郵便爆弾,ゆうびんばくだん,yuubinbakudan
和蘭三葉,オランダみつば,orandamitsuba
駐米,ちゅうべい,chuubei
駐英,ちゅうえい,chuuei
中毒性,ちゅうどくせい,chuudokusei
依存性,いぞんせい,izonsei
賽の目切り,さいのめぎり,sainomegiri
賽の目,さいのめ,sainome
数回,すうかい,suukai
数十,すうじゅう,suujuu
数千,すうせん,suusen
数百,すうひゃく,suuhyaku
数兆,すうちょう,suuchou
二進数,にしんすう,nishinsuu
無名数,むめいすう,mumeisuu
無次元量,むじげんりょう,mujigenryou
既知数,きちすう,kichisuu
魔法数,まほうすう,mahousuu
酸化数,さんかすう,sankasuu
桁数,けたすう,ketasuu
冊数,さっすう,sassuu
十八番,じゅうはちばん,juuhachiban
黎明期,れいめいき,reimeiki
晩熟,ばんじゅく,banjuku
諸外国,しょがいこく,shogaikoku
歯科医院,しかいいん,shikaiin
駐仏,ちゅうふつ,chuufutsu
駐伊,ちゅうい,chuui
駐独,ちゅうどく,chuudoku
首邑,しゅゆう,shuyuu
楕円関数,だえんかんすう,daenkansuu
水銀灯,すいぎんとう,suigintou
低圧水銀灯,ていあつすいぎんとう,teiatsusuigintou
高圧水銀灯,こうあつすいぎんとう,kouatsusuigintou
二駆,にく,niku
隠士,いんし,inshi
銀砂,ぎんしゃ,ginsha
銀砂子,ぎんすなご,ginsunago
金砂子,きんすなご,kinsunago
銀糸,ぎんし,ginshi
銀魚,ぎんぎょ,gingyo
銀銭,ぎんせん,ginsen
遺命,いめい,imei
有名税,ゆうめいぜい,yuumeizei
有害図書,ゆうがいとしょ,yuugaitosho
エロ本,えろほん,erohon
フルタイム4WD,フルタイムよんダブリューディー,furutaimuyondaburyuudii
螟蛉,めいれい,meirei
広告主,こうこくぬし,koukokunushi
流音,りゅうおん,ryuuon
依頼人,いらいにん,irainin
依頼者,いらいしゃ,iraisha
出資者,しゅっししゃ,shusshisha
暗殺者,あんさつしゃ,ansatsusha
加入者,かにゅうしゃ,kanyuusha
購読者,こうどくしゃ,koudokusha
出演者,しゅつえんしゃ,shutsuensha
登録者,とうろくしゃ,tourokusha
流賊,りゅうぞく,ryuuzoku
指導員,しどういん,shidouin
水防団,すいぼうだん,suiboudan
愚物,ぐぶつ,gubutsu
尤物,ゆうぶつ,yuubutsu
牛黄,ごおう,goou
欲心,よくしん,yokushin
三角コーン,さんかくコーン,sankakukoon
楕円積分,だえんせきぶん,daensekibun
カンボジア人,カンボジアじん,kanbojiajin
ラオス人,ラオスじん,raosujin
時代精神,じだいせいしん,jidaiseishin
エジプト人,エジプトじん,ejiputojin
合該,ごうがい,gougai
曲私,きょくし,kyokushi
曲師,きょくし,kyokushi
局紙,きょくし,kyokushi
万能薬,ばんのうやく,bannouyaku
浪曲,ろうきょく,roukyoku
叡王,えいおう,eiou
歴史的仮名遣い,れきしてきかなづかい,rekishitekikanazukai
現代仮名遣い,げんだいかなづかい,gendaikanazukai
特休,とっきゅう,tokkyuu
教授言語,きょうじゅげんご,kyoujugengo
教育機関,きょういくきかん,kyouikukikan
学芸大学,がくげいだいがく,gakugeidaigaku
学校用務員,がっこうようむいん,gakkouyoumuin
校務員,こうむいん,koumuin
朱引き,しゅびき,shubiki
幾年,いくねん,ikunen
幾歳,いくさい,ikusai
軍事境界線,ぐんじきょうかいせん,gunjikyoukaisen
実効支配,じっこうしはい,jikkoushihai
主権在民,しゅけんざいみん,shukenzaimin
主権者,しゅけんしゃ,shukensha
凹多角形,おうたかくけい,outakakukei
凸多角形,とつたかくけい,totsutakakukei
二直角,にちょっかく,nichokkaku
鉄軌,てっき,tekki
適期,てっき,tekki
鉄騎,てっき,tekki
ユダ豚,ユダぶた,yudabuta
イタ豚,イタぶた,itabuta
ナチ豚,ナチぶた,nachibuta
諸相,しょそう,shosou
書箱,しょそう,shosou
アラビア人,アラビアじん,arabiajin
欠時,けつじ,ketsuji
馬来,マライ,marai
怪我人,けがにん,keganin
宦者,かんじゃ,kanja
沈香木,じんこうぼく,jinkouboku
和木,わぼく,waboku
全躯,ぜんく,zenku
全句,ぜんく,zenku
線区,せんく,senku
烏肉,からすにく,karasuniku
猿肉,さるにく,saruniku
猫肉,ねこにく,nekoniku
野味,やみ,yami
致事,ちじ,chiji
痴児,ちじ,chiji
鰐肉,わににく,waniniku
亀肉,かめにく,kameniku
蛇肉,へびにく,hebiniku
蛙肉,かえるにく,kaeruniku
食欲不振,しょくよくふしん,shokuyokufushin
狐肉,きつねにく,kitsuneniku
狸肉,たぬきにく,tanukiniku
破壊活動,はかいかつどう,hakaikatsudou
地下活動,ちかかつどう,chikakatsudou
避難訓練,ひなんくんれん,hinankunren
防災訓練,ぼうさいくんれん,bousaikunren
研磨剤,けんまざい,kenmazai
説明書,せつめいしょ,setsumeisho
郡守,ぐんしゅ,gunshu
民間資格,みんかんしかく,minkanshikaku
公的資格,こうてきしかく,koutekishikaku
国家資格,こっかしかく,kokkashikaku
旅行案内,りょこうあんない,ryokouannai
人間不信,にんげんふしん,ningenfushin
動用字,どうようじ,douyouji
業務独占資格,ぎょうむどくせんしかく,gyoumudokusenshikaku
名称独占資格,めいしょうどくせんしかく,meishoudokusenshikaku
必置資格,ひっちしかく,hitchishikaku
設置義務資格,せっちぎむしかく,setchigimushikaku
任用資格,にんようしかく,ninyoushikaku
催涙剤,さいるいざい,sairuizai
大祖父,おおおおじ,ooooji
大祖母,おおおば,oooba
綱紀粛正,こうきしゅくせい,koukishukusei
企業統治,きぎょうとうち,kigyoutouchi
仔牛肉,こうしにく,koushiniku
子牛肉,こうしにく,koushiniku
寒熱,かんねつ,kannetsu
二九,にく,niku
二苦,にく,niku
礼銭,れいせん,reisen
明旦,みょうたん,myoutan
屠殺場,とさつじょう,tosatsujou
外家,がいけ,gaike
余慶,よけい,yokei
余恵,よけい,yokei
余殃,よおう,yoou
連句,れんく,renku
聯句,れんく,renku
年税,ねんぜい,nenzei
年歳,ねんさい,nensai
地方警務官,ちほうけいむかん,chihoukeimukan
特別司法警察職員,とくべつしほうけいさつしょくいん,tokubetsushihoukeisatsushokuin
使役犬,しえきけん,shiekiken
使役動物,しえきどうぶつ,shiekidoubutsu
築年,ちくねん,chikunen
手回しオルガン,てまわしオルガン,temawashiorugan
木具,きぐ,kigu
冶工,やこう,yakou
中間管理職,ちゅうかんかんりしょく,chuukankanrishoku
有力者,ゆうりょくしゃ,yuuryokusha
権力者,けんりょくしゃ,kenryokusha
権利者,けんりしゃ,kenrisha
権者,けんじゃ,kenja
午前様,ごぜんさま,gozensama
師旅,しりょ,shiryo
志慮,しりょ,shiryo
軍略,ぐんりゃく,gunryaku
百世,ひゃくせい,hyakusei
高家,こうけ,kouke
香華,こうげ,kouge
香花,こうげ,kouge
マニ教,マニきょう,manikyou
摩尼教,マニきょう,manikyou
是非とも,ぜひとも,zehitomo
果実学,かじつがく,kajitsugaku
クエン酸塩,クエンさんえん,kuensan'en
枸櫞酸塩,くえんさんえん,kuensan'en
膳組,ぜんぐみ,zengumi
十把一絡げ,じっぱひとからげ,jippahitokarage
楊子,ようじ,youji
衛士,えじ,eji
惑世,わくせい,wakusei
阿婉,あえん,aen
阿呍,あうん,aun
千倍,せんばい,senbai
ビニ本,ビニぼん,binibon
作務,さむ,samu
鳴禽,めいきん,meikin
鳴禽類,めいきんるい,meikinrui
家禽類,かきんるい,kakinrui
宝石商,ほうせきしょう,housekishou
審査員,しんさいん,shinsain
死亡診断書,しぼうしんだんしょ,shiboushindansho
死体検案書,しぼうけんあんしょ,shibouken'ansho
検案書,けんあんしょ,ken'ansho
死亡証明書,しぼうしょめいしょ,shiboushomeisho
百人一首,ひゃくにんいっしゅ,hyakunin'isshu
首尾一貫,しゅびいっかん,shubiikkan
思考力,しこうりょく,shikouryoku
焼き菓子,やきがし,yakigashi
麩菓子,ふがし,fugashi
雲平,うんぺい,unpei
雲平糖,うんぺいとう,unpeitou
工芸菓子,こうげいがし,kougeigashi
問対,もんたい,montai
紋体,もんたい,montai
図嚢,ずのう,zunou
梨園,りえん,rien
離宴,りえん,rien
離筵,りえん,rien
豪華版,ごうかばん,goukaban
手枷足枷,てかせあしかせ,tekaseashikase
内敵,ないてき,naiteki
厭世主義,えんせいしゅぎ,enseishugi
厭世観,えんせいかん,enseikan
悲観主義,ひかんしゅぎ,hikanshugi
胃の腑,いのふ,inofu
固形食,こけいしょく,kokeishoku
流動食,りゅうどうしょく,ryuudoushoku
栄養分,えいようぶん,eiyoubun
蠱惑,こわく,kowaku
是是非非,ぜぜひひ,zezehihi
軍刀,ぐんとう,guntou
群盗,ぐんとう,guntou
群党,ぐんとう,guntou
勲等,くんとう,kuntou
勲位,くんい,kun'i
君道,くんどう,kundou
三者,さんしゃ,sansha
四者,よんしゃ,yonsha
一者,いっしゃ,issha
五者,ごしゃ,gosha
六者,ろくしゃ,rokusha
七者,しちしゃ,shichisha
八者,はちしゃ,hachisha
九者,きゅうしゃ,kyuusha
一に,いつに,itsuni
執権,しっけん,shikken
人狼,じんろう,jinrou
一度に,いちどに,ichidoni
一斉に,いっせいに,isseini
中二病,ちゅうにびょう,chuunibyou
免責事項,めんせきじこう,mensekijikou
参加者,さんかしゃ,sankasha
厨二病,ちゅうにびょう,chuunibyou
推薦状,すいせんじょう,suisenjou
推薦入試,すいせんにゅうし,suisennyuushi
行方不明者,ゆくえふめいしゃ,yukuefumeisha
三年生,さんねんせい,sannensei
四年生,よねんせい,yonensei
五年生,ごねんせい,gonensei
六年生,ろくねんせい,rokunensei
七年生,しちねんせい,shichinensei
八年生,はちねんせい,hachinensei
九年生,きゅうねんせい,kyuunensei
薄刃包丁,うすばぼうちょう,usubabouchou
御苦労,ごくろう,gokurou
十年生,じゅうねんせい,juunensei
十一年生,じゅういちねんせい,juuichinensei
十二年生,じゅうにねんせい,juuninensei
十三年生,じゅうさんねんせい,juusannensei
脱プラ,だつプラ,datsupura
国勢調査指定地域,こくせいちょうさしていちいき,kokuseichousashiteichiiki
基礎自治体,きそじちたい,kisojichitai
特定地方交通線,とくていちほうこうつうせん,tokuteichihoukoutsuusen
特定地交線,とくていちこうせん,tokuteichikousen
地交線,ちこうせん,chikousen
赤字83線,あかじはちじゅうさんせん,akajihachijuusansen
不要不急線,ふようふきゅうせん,fuyoufukyuusen
統計家,とうけいか,toukeika
DQNネーム,ドキュンネーム,dokyunneemu
幾度,いくど,ikudo
同時多発テロ,どうじたはつテロ,doujitahatsutero
恐怖政治,きょうふせいじ,kyoufuseiji
聖座,せいざ,seiza
福音記者,ふくいんきしゃ,fukuinkisha
熱水噴出孔,ねっすいふんしゅつこう,nessuifunshutsukou
総本山,そうほんざん,souhonzan
憲法学,けんぽうがく,kenpougaku
称す,しょうす,shousu
弱体,じゃくたい,jakutai
船渡,せんと,sento
浮世絵師,うきよえし,ukiyoeshi
城東,じょうとう,joutou
城南,じょうなん,jounan
城北,じょうほく,jouhoku
城西,じょうさい,jousai
前方互換,ぜんぽうごかん,zenpougokan
後方互換,こうほうごかん,kouhougokan
上位互換,じょういごかん,jouigokan
下位互換,かいごかん,kaigokan
七不思議,ななふしぎ,nanafushigi
ローマの七丘,ローマのしちきゅう,roomanoshichikyuu
百人隊,ひゃくにんたい,hyakunintai
出エジプト,しゅつエジプト,shutsuejiputo
自動車電話,じどうしゃでんわ,jidoushadenwa
自立式,じりつしき,jiritsushiki
党軍,とうぐん,tougun
定訳,ていやく,teiyaku
波面,はめん,hamen
破面,はめん,hamen
半端物,はんぱもの,hanpamono
半端者,はんぱもの,hanpamono
一党独裁,いっとうどくさい,ittoudokusai
水酸化,すいさんか,suisanka
前提条件,ぜんていじょうけん,zenteijouken
実験器具,じっけんきぐ,jikkenkigu
実験装置,じっけんそうち,jikkensouchi
執行機関,しっこうきかん,shikkoukikan
法執行機関,ほうしっこうきかん,houshikkoukikan
情報機関,じょうほうきかん,jouhoukikan
法執行,ほうしっこう,houshikkou
軍事組織,ぐんじそしき,gunjisoshiki
警察組織,けいさつそしき,keisatsusoshiki
構成員,こうせいいん,kouseiin
反社会的勢力,はんしゃかいてきせいりょく,hanshakaitekiseiryoku
徒手空拳,としゅくうけん,toshukuuken
裸一貫,はだかいっかん,hadakaikkan
斗酒,としゅ,toshu
反社会,はんしゃかい,hanshakai
関八州,かんはっしゅう,kanhasshuu
曲尺,かねじゃく,kanejaku
矩尺,かねじゃく,kanejaku
表外漢字,ひょうがいかんじ,hyougaikanji
降版,こうはん,kouhan
熱運動,ねつうんどう,netsuundou
弾性ゲル,だんせいゲル,danseigeru
縮化,しゅっか,shukka
全集中,ぜんしゅうちゅう,zenshuuchuu
手ブラ,てブラ,tebura
木質,もくしつ,mokushitsu
意思疎通,いしそつう,ishisotsuu
